data_item_description,col1,col2,series_type,series_id,series_start,series_end,no_obs,unit,data_type,freq,collection_month,building_type,sector,series_start_clean,series_end_clean,start_year,end_year,start_decade,end_decade,series_span_years,decade_label,is_original,is_seasonally_adjusted,is_trend,sector_encoded,bldg_Dwellings excluding houses,bldg_Houses,bldg_Total (Type of Building),series_id_prefix,start_decade_num,start_month,era,prefix_freq
Total number of dwelling units ;  New South Wales ;  Houses ;  Private Sector ;,,,Original,A418458A,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Houses,Private Sector,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,1,0,0,0,False,True,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Houses ;  Total Sectors ;,,,Original,A418511A,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Houses,Total Sectors,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,1,0,0,1,False,True,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Dwellings excluding houses ;  Private Sector ;,,,Original,A421293X,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Dwellings excluding houses,Private Sector,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,1,0,0,0,True,False,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Dwellings excluding houses ;  Total Sectors ;,,,Original,A421353R,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Dwellings excluding houses,Total Sectors,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,1,0,0,1,True,False,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Total (Type of Building) ;  Private Sector ;,,,Original,A422102R,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Total (Type of Building),Private Sector,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,1,0,0,0,False,False,True,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Total (Type of Building) ;  Total Sectors ;,,,Original,A422166A,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Total (Type of Building),Total Sectors,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,1,0,0,1,False,False,True,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Houses ;  Private Sector ;,,,Seasonally Adjusted,A418461R,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Houses,Private Sector,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,1,0,0,False,True,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Houses ;  Total Sectors ;,,,Seasonally Adjusted,A418514J,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Houses,Total Sectors,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,1,0,1,False,True,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Total (Type of Building) ;  Private Sector ;,,,Seasonally Adjusted,A422108C,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Total (Type of Building),Private Sector,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,1,0,0,False,False,True,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Total (Type of Building) ;  Total Sectors ;,,,Seasonally Adjusted,A422172W,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Total (Type of Building),Total Sectors,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,1,0,1,False,False,True,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Houses ;  Private Sector ;,,,Trend,A418462T,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Houses,Private Sector,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,0,1,0,False,True,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Houses ;  Total Sectors ;,,,Trend,A418515K,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Houses,Total Sectors,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,0,1,1,False,True,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Dwellings excluding houses ;  Private Sector ;,,,Trend,A421299L,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Dwellings excluding houses,Private Sector,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,0,1,0,True,False,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Dwellings excluding houses ;  Total Sectors ;,,,Trend,A421359C,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Dwellings excluding houses,Total Sectors,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,0,1,1,True,False,False,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Total (Type of Building) ;  Private Sector ;,,,Trend,A422109F,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Total (Type of Building),Private Sector,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,0,1,0,False,False,True,A,1980.0,7,pre_2000,16
Total number of dwelling units ;  New South Wales ;  Total (Type of Building) ;  Total Sectors ;,,,Trend,A422174A,1983-07-01 00:00:00,2026-03-01 00:00:00,513,Number,FLOW,Month,1,Total (Type of Building),Total Sectors,1983-07-01,2026-03-01,1983,2026,1980,2020,43,1980,0,0,1,1,False,False,True,A,1980.0,7,pre_2000,16
